title,price,rating
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$8.11,"109,994 ratings"
"Bluetooth Headphones Over Ear,BERIBES 65H Playtime and 6 EQ Music Modes with Microphone,HiFi Stereo Foldable Lightweight Wireless Headset,Deep Bass for Home Office Cellphone PC Etc.(White)",Page 1 of 1  ,"17,186 ratings"
Bluetooth Headphones Wireless Earbuds 90Hrs Playtime Ear Buds IPX7 Waterproof Sports Earphones with Wireless Charging Case & Over-ear Earhooks LED Power Display Stereo Bass Headset for Workout Black,Page 1 of 1  ,608 ratings
"ZIHNIC Bluetooth Headphones Over-Ear, Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Wearing(Rose Gold)",$26.99,"74,945 ratings"
"PSIER Open Ear Headphones, Wireless Earbuds 40Hrs Battery Life with LED Digital Display Bluetooth 5.3 Headphones Premium Stereo Sound Open Ear Earbuds with Earhooks Workout Headphones",Page 1 of 1  ,22 ratings
"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Smoke Gray",$36.75,"50,162 ratings"
"JBL Live 460NC - Wireless On-Ear Noise Cancelling Headphones with Long Battery Life and Voice Assistant Control - White, Medium",$64.00,"5,270 ratings"
"RORSOU R10 On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)",$15.68,"8,623 ratings"
"Tuitager Bluetooth Headphones Over-Ear, 60 Hours Playtime Foldable Lightweight Wireless Headphones Hi-Fi Stereo with 6 EQ Modes, Bass Adjustable Headset with Built-in HD Mic, FM, SD/TF for PC/Home-",$17.99,"8,545 ratings"
Earbuds 72Hrs Playback Wireless Earbuds Bluetooth Headphones with LED Power Display Charging Case Ear buds IPX7 Waterproof Earphones Stereo Sound in-Ear Earbud with Mic for Phone Laptop TV Sport White,Page 1 of 1  ,282 ratings
"Uliptz Wireless Bluetooth Headphones, 65H Playtime, 6 EQ Sound Modes, HiFi Stereo Over Ear Headphones with Microphone, Foldable Lightweight Bluetooth 5.3 Headphones for Travel/Office/Cellphone/PC",$14.99,"5,063 ratings"
"2023 Bluetcooth Kids Headphones Fit for Aged 3-21, Colorful LED Lights Comfort Wireless Headphones with Microphone 94dB Volume Limited for School/iPad/PC/TV/Cellphones, Wired & TF Card Mode, Blue",$23.99,"1,594 ratings"
"Srhythm NiceComfort 95 Hybrid Noise Cancelling Headphones,Wireless Bluetooth Headset with Transparency Mode,HD Sound",$72.26,731 ratings
"Wireless Earbuds, Bluetooth 5.3 Headphones in Ear with Noise Cancelling Mic, Earbuds Stereo Bass, IP7 Waterproof Sports Earphones, 32H Playtime USB C Charging Buds White for Android iOS",$17.59,"20,227 ratings"
Bluetooth Headphones Wireless Earbuds 90Hrs Playtime Ear Buds IPX7 Waterproof Sports Earphones with Wireless Charging Case & Over-ear Earhooks LED Power Display Stereo Bass Headset for Workout Black,Page 1 of 1  ,608 ratings
